appid,title,publisher_group,window_n,window_pos_rate,positive_reception,vader_compound,launch_delta,playtime_r,english_pct,franchise_seq_idx,cl_pc_specific_neg_rt,oc_score
39210,Final Fantasy XIV Online,square_enix,5075,0.7222,0,0.3017,,0.0527,76.2,0,0.02,86.30555555555556
271590,GTA V,take_two,5069,0.9349,1,0.1357,,-0.0641,26.6,0,0.04081632653061224,78.4
397540,Borderlands 3,take_two,5067,0.8062,1,0.2108,,0.0518,49.8,0,0.02040816326530612,80.48514851485149
502500,Ace Combat 7,bandai_namco,5083,0.8865,1,0.1683,,0.0268,48.8,0,0.061224489795918366,80.78571428571429
524220,NieR: Automata,square_enix,4987,0.9037,1,0.1847,,0.1165,44.6,0,0.08,89.36206896551724
553850,Helldivers 2,sie,5084,0.7362,0,0.2073,,-0.0356,63.5,0,0.04081632653061224,82.48837209302326
678950,Dragon Ball FighterZ,bandai_namco,4978,0.903,1,0.1544,,0.0375,45.4,0,0.04081632653061224,85.69072164948453
740130,Tales of Arise,bandai_namco,4982,0.7445,0,0.1604,,0.12,37.3,0,0.02,87.21875
860510,Little Nightmares II,bandai_namco,4986,0.9055,1,0.1127,,0.0415,25.4,0,0.04,82.50892857142857
921570,Octopath Traveler,square_enix,4977,0.8385,1,0.2073,,0.0658,40.3,0,0.02,84.10975609756098
997070,Marvel's Avengers,square_enix,4985,0.6648,0,0.1397,,0.1299,33.6,0,0.14,67.85344827586206
1113000,Persona 4 Golden,sega_atlus,4993,0.9688,1,0.2005,,0.0511,44.1,0,0.0,88.11764705882354
1113560,NieR Replicant,square_enix,4987,0.8777,1,0.2289,,0.0778,54.3,1,0.0625,82.83529411764705
1151640,Horizon Zero Dawn,sie,5062,0.8657,1,0.2318,,0.1101,44.0,0,0.02040816326530612,89.29310344827586
1172470,Apex Legends,ea,4983,0.6677,0,0.104,,-0.0156,38.4,0,0.02,80.59322033898304
1174180,Red Dead Redemption 2,take_two,4976,0.9413,1,0.1592,,-0.0011,38.3,0,0.04,95.41614906832298
1235140,Yakuza: Like a Dragon,sega_atlus,4983,0.9105,1,0.2127,,0.0831,44.8,0,0.02040816326530612,85.81
1237320,Sonic Frontiers,sega_atlus,5092,0.8374,1,0.2374,,0.0826,55.4,0,0.02,70.95833333333333
1245620,Elden Ring,bandai_namco,5084,0.9076,1,0.1613,,0.0652,42.7,0,0.0425531914893617,95.09756097560977
1295510,Dragon Quest XI S,square_enix,4981,0.9109,1,0.2319,,0.0624,40.2,0,0.02040816326530612,83.37234042553192
1462040,Final Fantasy VII Remake Intergrade,square_enix,4971,0.8322,1,0.2105,,0.0787,41.3,0,0.0,88.23076923076923
1593500,God of War (2018),sie,5075,0.9529,1,0.1402,,0.0066,36.8,0,0.02,94.24137931034484
1649080,Two Point Campus,sega_atlus,4978,0.8823,1,0.2693,,0.09,43.7,0,0.04,83.39682539682539
1649240,Returnal,sie,4978,0.8019,1,0.2599,,0.0755,68.2,0,0.22,85.76470588235294
1672500,Gundam Breaker 4,bandai_namco,4069,0.7336,0,0.2493,-0.1314,0.0745,50.8,0,0.04,75.5909090909091
1680880,Forspoken,square_enix,4986,0.6867,0,0.2254,0.0589,0.186,54.7,0,0.3,66.38823529411765
1687950,Persona 5 Royal,sega_atlus,5081,0.9565,1,0.1434,,0.0687,32.2,1,0.0,94.0576923076923
1778820,Tekken 8,bandai_namco,5085,0.47,0,0.1219,,-0.0795,58.3,0,0.0,90.02906976744185
1790600,Dragon Ball: Sparking! Zero,bandai_namco,5083,0.7791,1,0.1496,,0.0239,45.3,1,0.04,81.81818181818181
1817070,Marvel's Spider-Man Remastered,sie,4976,0.9604,1,0.2038,,0.0095,40.8,0,0.04,87.94117647058823
1817190,Marvel's Spider-Man: Miles Morales,sie,4973,0.9367,1,0.1877,,-0.0118,37.9,1,0.021739130434782608,85.2258064516129
1888930,The Last of Us Part I,sie,5069,0.954,1,0.1582,,0.024,31.0,0,0.08163265306122448,81.75961538461539
1895880,Ratchet & Clank: Rift Apart,sie,5071,0.9097,1,0.3461,,0.047,55.2,0,0.1836734693877551,88.29464285714286
1971650,Octopath Traveler II,square_enix,4985,0.9089,1,0.1913,,0.0618,32.6,1,0.02040816326530612,85.09859154929578
2022670,Sonic Superstars,sega_atlus,3534,0.6862,0,0.2712,-0.0027,0.0474,73.2,1,0.0625,72.74545454545455
2161700,Persona 3 Reload,sega_atlus,4979,0.9484,1,0.1577,,0.0523,43.6,2,0.02,87.37640449438203
2195250,EA Sports FC 24,ea,5074,0.6372,0,0.0916,,0.0224,26.8,0,0.1,74.06153846153846
2322010,God of War Ragnarök,sie,5072,0.917,1,0.1666,,0.0534,42.6,1,0.04,92.0751879699248
2420110,Horizon Forbidden West,sie,4963,0.8336,1,0.2085,,0.0501,44.3,1,0.10204081632653061,88.16509433962264
2446550,Star Wars Outlaws,ubisoft,5094,0.2672,0,0.0781,0.0587,0.0768,87.0,0,0.16326530612244897,74.82105263157895
2515020,Final Fantasy XVI,square_enix,4981,0.7695,1,0.1908,,0.0983,48.0,0,0.2,87.21363636363637
2561580,Like a Dragon: Infinite Wealth,sega_atlus,5072,0.8671,1,0.2763,,0.1158,48.9,1,0.14,89.67391304347827
2669320,EA Sports FC 25,ea,4983,0.6089,0,0.0836,,-0.027,23.7,1,0.1836734693877551,76.10909090909091
2909400,Final Fantasy VII Rebirth,square_enix,5084,0.773,1,0.2015,,0.1079,43.1,1,0.12244897959183673,91.91176470588236
3035570,Assassin's Creed Mirage,ubisoft,5072,0.7778,1,0.1796,,0.1198,41.8,0,0.02,76.18627450980392
3159330,Assassin's Creed Shadows,ubisoft,5074,0.686,0,0.1171,,0.0875,35.6,1,0.10204081632653061,80.96666666666667
